ESG指標,,單位,2023年數值
按其他類別劃分的僱員總數,,,
按學歷劃分,碩士及以上,人,72
,本科及以下,人,"1,438"
按民族劃分,漢族,人,"1,374"
,少數民族,人,136
其他僱傭數據,,,
科研人員數量,,人,96
全職員工勞動合同簽訂率,,%,100
全職員工社會保險覆蓋率,,%,100
全職員工工會覆蓋率,,%,100
女性在STEM2相關職位上的比例,,%,52
B1.2 按性別、僱傭類型、年齡組別及地區劃分的僱員流失比率3,,,
總流失率,,%,92.52
按性別劃分,男,%,34.24
,女,%,58.28
按年齡組別劃分,30歲以下,%,71.79
,30-50歲,%,20.00
,50歲以上,%,0.73
按地區劃分,中國大陸,%,92.52
,港澳台及海外地區,%,0
按職級劃分,高級管理層,%,0.26
,中級管理層,%,1.32
,非管理層,%,90.93
