ESG指標,,單位,2023年數值
B1 僱傭,,,
B1.1 按性別、僱傭類型、年齡組別及地區劃分的僱員總數1,,,
員工總人數,,人,"1,510"
按性別劃分,男,人,652
,女,人,858
按年齡組別劃分,30歲以下,人,762
,30-50歲,人,708
,50歲以上,人,40
按職級劃分,高級管理層合計,人,32
,高級管理層男性員工,人,25
,高級管理層女性員工,人,7
,中層管理層合計,人,162
,中層管理層男性員工,人,99
,中層管理層女性員工,人,63
,非管理層合計,人,"1,316"
,非管理層男性員工,人,528
,非管理層女性員工,人,788
按地區劃分,中國大陸地區合計,人,"1,508"
,華東地區,人,198
,華南地區,人,"1,106"
,華中地區,人,30
,西南地區,人,174
,港澳台及海外地區合計,人,2
按僱傭類型劃分,全職,人,"1,483"
,兼職,人,27
