,2023年受訓員工百分比,2023年員工平均受訓時數
男性員工,46.21%,24.00
女性員工,53.79%,22.00
高級管理層,2.89%,10.00
中層管理層,10.65%,22.00
非管理層,86.46%,23.47
30歲以下,51.08%,24.80
30-50歲,47.11%,21.30
50歲以上,1.81%,12.20
