ESG指標,,單位,2023年數值
B3.2 按性別及僱傭類別劃分的僱員受訓平均時數6,,,
按性別劃分,男,小時,24.00
,女,小時,22.00
按職級劃分,高級管理層,小時,10.00
,中級管理層,小時,22.00
,非管理層,小時,23.47
按其他類別劃分的僱員受訓平均時數6,,,
按培訓內容,營銷線,小時,21.41
,實驗室技術線,小時,32.24
,職能線,小時,10.72
按年齡,30歲以下,小時,24.80
,30-50歲,小時,21.30
,50歲以上,小時,12.20
按民族,漢族,小時,23.00
,少數民族,小時,22.00
B5 供應商管理,,,
B5.1 按地區劃分的供應商數據,,,
地區,中國大陸地區合計,個,353
,華北地區,個,21
,華東地區,個,95
,華南地區,個,175
,華中地區,個,33
,西北地區,個,2
,西南地區,個,26
,東北地區,個,1
