經常性薪酬項目,,
基本報酬、津貼及利益 1,34.0,33.6
表現賞金 2,,
－年度賞金,24.4,26.8
－長期賞金,12.7,17.4
公積金供款,8.1,8.4
非經常性薪酬項目,,
其他款項,5.4,6.7
,,
,84.6,92.9
