,,
僱員培訓,,
,"每名僱員平均
受訓時數","已受訓僱員
百分比"
,,
,,
按地區劃分,,
香港,52.0,97.8%
中國內地,72.3,99.3%
澳洲,16.9,100%
集團整體,44.1,98.5%
,,
按性別劃分,,
男性,51.4,98.7%
女性,24.4,97.9%
,,
按專業級別劃分,,
管理層,27.2,95.3%
專業人員,32.5,98.0%
一般職系和技術人員,59.6,99.5%
,,
