,,,,,,,
,協議名稱、日期及期限,中電集團交易方,南方電網集團交易方,,交易性質及概況,定價基礎,"2023年金額
百萬港元"
7,三都風電項目,,,,,,
7.1,"三都風電項目購售電合同
於2021年12月31日訂立之協議，由2022年1月1日至2023年
12月31日為期兩年。（附註4）","中電（三都）新能源有限
公司，為本公司之全資
附屬公司（中電三都）","貴州電網有限責任
公司，為南方電網之
附屬公司（貴州電網）",,中電三都售電予貴州電網。,"款項是根據千瓦時售電量，乘以由貴州省
發展和改革委員會（貴州省發改委）預定的
電價。電價已刊登於貴州省發改委黔發改
價格[2017]1113號文，並於不時更新。",139.18
7.2,"三都風電項目高壓供用電合同
於2015年12月8日訂立之協議，及其後補充協議，可自動
續期。最近一次續期為另外一年期至2024年8月17日。",中電三都,"貴州電網轄下的都勻三
都供電局，為南方電網
之附屬公司（三都供電
局）",,"三都供電局供電予中電三都（作為工業用戶）作項目
所在地用電。",如上文第2.10項,0.37
7.3,"三都風電項目供用電合同（10千伏）
於2018年3月23日訂立之協議，可自動續期。最近一次續期
為另外三年期至2024年3月22日。",中電三都,三都供電局,,三都供電局供電予中電三都作項目所在地用電。,"款項是根據千瓦時售電量，乘以由貴州省發改
委釐定的居民用戶生活用電電價。電價已刊登
於貴州省發改委黔發改價格[2020]1025號文，
並於不時更新。",0.02
"三都風電項目的合計總金額
（2023年項目上限為191.00百萬港元）",,,,,,,139.57
2023年度總金額,,,,,,,651.78
