,,,,,,,
,協議名稱、日期及期限,中電集團交易方,南方電網集團交易方,,交易性質及概況,定價基礎,"2023年金額
百萬港元"
2.17,"水下水電站（10千伏下帥線）高壓供用電合同
於2023年3月2日訂立之新協議，為期一年至2024年3月1
日，可自動續期，每次為期一年。",懷集威發,懷集供電局,,"懷集供電局供電予懷集威發（作為工業用戶）作電站
用電。",如上文第2.10項,0.01
2.18,"牛岐水電站（35千伏東牛二線）高壓供用電合同
於2023年2月13日訂立之新協議，為期三年至2026年2月12
日，可自動續期，每次為期一年。",懷集新聯,"廣東電網轄下的
肇慶廣寧供電局，
南方電網之附屬
公司（廣寧供電局）",,"廣寧供電局供電予懷集新聯（作為工業用戶）作電站
用電。",如上文第2.10項,0.08
2.19,"長調水電站（10千伏新瑩線）高壓供用電合同
於2023年6月16日訂立之新協議，為期三年至2026年6月15
日，可自動續期，每次為期一年。",懷集長新,懷集供電局,,"懷集供電局供電予懷集長新（作為工業用戶）作電站
用電。",如上文第2.10項,0.01
"懷集水電項目的合計總金額
（2023年項目上限為292.00百萬港元）",,,,,,,194.29
3,梅州太陽能光電項目,,,,,,
3.1,"梅州太陽能光電項目購售電合同
於2019年3月1日訂立之協議，可自動續期。最近一次續期為
另外一年期至2024年2月1日。","平遠利天新能源電力有限
公司，為本公司之全資
附屬公司（中電梅州）","廣東電網轄下的梅州
供電局，為南方電網之
附屬公司（梅州供電局）",,中電梅州售電予梅州供電局。,"款項是根據千瓦時售電量，乘以由廣東省發改
委預定的電價。電價已刊登於廣東省發改委粵
發改價格[2017]3084號文，並於不時更新。",45.60
3.2,"梅州太陽能光電項目高壓供用電合同（110千伏東利線）
於2019年7月10日訂立之協議，可自動續期。最近一次續期
為另外一年期至2024年7月9日。",中電梅州,"廣東電網轄下的梅州
平遠供電局，為南方
電網之附屬公司（平遠
供電局）",,"平遠供電局供電予中電梅州（作為工業用戶）作項目
所在地用電。",如上文第2.10項,0.07
3.3,"梅州太陽能光電項目高壓供用電合同（10千伏東石線）
於2017年6月9日訂立之協議，可自動續期。最近一次續期為
另外一年期至2024年6月8日。",中電梅州,平遠供電局,,如上文第3.2項,如上文第2.10項,0.30
"梅州太陽能光電項目的合計總金額
（2023年項目上限為68.00百萬港元）",,,,,,,45.97
