資產及服務,地點,中電權益,總容量,"中電所佔
淨容量"
風力,,,,
,古加拉特邦,50%,50.4兆瓦,
,古加拉特邦,50%,50.4兆瓦,
,古加拉特邦,50%,50.4兆瓦,
,古加拉特邦,50%,250.8兆瓦,
,卡納塔克邦,50%,39.6兆瓦,
,卡納塔克邦,50%,72兆瓦,
,中央邦,50%,92兆瓦,
,馬哈拉施特拉邦,50%,106.4兆瓦,
,馬哈拉施特拉邦,50%,60兆瓦,
,馬哈拉施特拉邦,50%,50.4兆瓦,
,拉賈斯坦邦,50%,102.4兆瓦,
,拉賈斯坦邦,50%,50.4兆瓦,
,拉賈斯坦邦,50%,100.8兆瓦,
,泰米爾納德邦,50%,49.5兆瓦,
,泰米爾納德邦,50%,48兆瓦,
