物業名稱,鉑金,金
海之戀,,✓
My Central,,✓
愛海頌,,✓
Sea to Sky,,✓
維港頌,,
悅目,,
長江集團中心二期,暫定鉑金級,
黃竹坑站第三期,,暫定金級
小秀村項目,,
