,,,,,,,
,協議名稱、日期及期限,中電集團交易方,南方電網集團交易方,,交易性質及概況,定價基礎,"2023年金額
百萬港元"
5,西村太陽能光電項目（一期及二期）,,,,,,
5.1,"西村太陽能光電項目購售電合同
於2022年11月22日訂立之協議，可自動續期，最近一次續期
為另外一年期至2024年10月9日。","中電大理（西村）光伏發電
有限公司，為本公司之
全資附屬公司（中電西村）",雲南電網,,中電西村售電予雲南電網。,"根據雲南能源經營文件[2021]286號文，可再
生能源發電企業在枯平期（1–5月及11–12月）
全面參與市場銷售，而在汛期（6–10月），
全部上網電量則根據昆明電力交易中心公布的
月度集中競價平均成交價，以折扣價按「優先
電量」出售。總電價包括結算價及補貼。",45.55
5.2,"西村太陽能光電項目高壓供用電合同（項目所在地使用）
於2022年9月25日訂立之協議，為期三年至2025年9月24
日，可自動續期，每次為期三年。",中電西村,"雲南電網轄下的大理
賓川供電局，為南方
電網之附屬公司（賓川
供電局）",,"賓川供電局供電予中電西村（作為工業用戶）作項目
所在地用電。",如上文第2.10項,–
5.3,"西村太陽能光電項目高壓供用電合同
於2019年12月25日訂立之協議，可自動續期。最近一次續期
為另外三年期至2025年12月24日。",中電西村,大理供電局,,"大理供電局供電予中電西村（作為工業用戶），在靜
止發電的狀態下供項目所在地的設備用電。",如上文第2.10項,0.34
5.4,"西村太陽能光電項目高壓供用電合同（水泵站使用）
於2022年9月25日訂立之協議，為期三年至2025年9月24
日，可自動續期，每次為期三年。",中電西村,賓川供電局,,"賓川供電局供電予中電西村（作為農業用戶）供澆灌
設施使用。","款項是根據千瓦時售電量，乘以由國家發改委
預定的電價，並根據雲南省發改委和雲南省能
源局發布的《 2022年雲南省電力市場交易實施
方案》 進行調整。電價於不時更新。",0.03
5.5,"電力交易中心銷售
於2023年不同日期，透過昆明電力交易中心訂立不同期間的
電力銷售交易。",中電西村,"雲南電網及昆明電力
交易中心",,"中電西村不時透過昆明電力交易中心進行電力
銷售：（i）按照昆明電力交易中心的結算規則，
雲南電網作為結算代理人承擔交易的結算風險；
或（ii）雲南電網作為跨省電力銷售的購電方。",如上文第4.4項,92.82
"西村太陽能光電項目（一期及二期）的合計總金額
（2023年項目上限為166.00百萬港元）",,,,,,,138.74
