資產及服務,地點,中電權益,總容量,"中電所佔
淨容量
（權益╱
長期購電）"
,吉林,49%,49.3兆瓦,
,吉林,49%,49.5兆瓦,
,山東,100%,49.5兆瓦,
,山東,100%,49.5兆瓦,
,山東,49%,49.5兆瓦,
,山東,45%,37.5兆瓦,
,山東,100%,49.5兆瓦,
,山東,100%,49.5兆瓦,
,山東,100%,50兆瓦,
,山東,49%,49.5兆瓦,
,山東,49%,49.5兆瓦,
,山東,100%,48兆瓦,
,山東,49%,48.8兆瓦,
,山東,49%,49.5兆瓦,
,山東,49%,49.5兆瓦,
,山東,45%,19.5兆瓦,
,山東,45%,49.5兆瓦,
,山東,49%,49.5兆瓦,
,山東,49%,49.5兆瓦,
,上海,29%,48兆瓦,
,雲南,100%,49.5兆瓦,
,雲南,100%,50兆瓦,
