""
""
"23,243"
"79,088"
""
""
"102,331"
"3,887"
"6,164"
""
"112,382"
""
""
"44,943"
"16,752"
"1,719"
"2,643"
"5,047"
"3,086"
""
"74,190"
""
""
"186,572"
