,
自願流失率（%）,
,
,
按性別劃分,
男性,4.9%
女性,3.2%
,
按年齡組別劃分,
30歲以下,2.7%
30–39歲,5.7%
40–49歲,3.3%
50歲或以上,1.9%
,
按地區劃分,
香港,5.4%
中國內地,2.6%
澳洲,15.2%
集團整體,8.1%
,
