""
"918,385"
"1,280,075"
"634,662"
"740,764"
"954,062"
–
""
"954,062"
"1,775,488"
"736,944"
"1,859,508"
"1,060,164"
"1,577,055"
"740,764"
"781,559"
"456,267"
""
"14,469,759"
