資產及服務,地點,"中電權益
（權益╱
長期購電）",總容量,"中電所佔
淨容量
（權益╱
長期購電）"
客戶服務,,,,
,"新南威爾斯州、
昆士蘭州、南澳
州及維多利亞州",100%,–,
