"10,643"
""
"2,139"
(270)
(15)
"(3,196)"
"8,594"
"6,220"
393
25
–
164
–
–
"(2,911)"
""
329
"3,284"
(126)
(271)
(48)
""
""
"3,168"
375
"1,839"
17
(953)
(397)
(238)
"25,597"
