,,,,,,,
,協議名稱、日期及期限,中電集團交易方,南方電網集團交易方,,交易性質及概況,定價基礎,"2023年金額
百萬港元"
4,漾洱水電項目,,,,,,
4.1,"漾洱水電項目高壓供用電合同（10千伏，水壩用電）
於2022年9月23日訂立之協議，為期三年至2025年9月22
日，可自動續期，每次為期三年。","大理漾洱水電有限公司，
為本公司之全資附屬公司
（大理漾洱）","漾濞供電有限責任
公司，為南方電網之
附屬公司（漾濞公司）",,"漾濞公司供電予大理漾洱（作為工業用戶）作項目所
在地用電。","根據雲南省發展和改革委員會（雲南省發改委）
[2021]1140號文，電力用戶直接通過市場售電
方式購電，或通過電網公司作為購電代理，為
不能直接從市場購電的工商業用戶代購電。
電價按每月中標交易價格加權平均價的1–1.5
倍加代理費、輸配費用等計算。",0.01
4.2,"漾洱水電項目高壓供用電合同（10千伏，電站用電）
於2022年9月23日訂立之協議，為期三年至2025年9月22
日，可自動續期，每次為期三年。",大理漾洱,漾濞公司,,如上文第4.1項,如上文第4.1項,–
4.3,"漾洱水電項目高壓供用電合同（110千伏）
於2022年9月23日訂立之協議，為期三年至2025年9月22
日，可自動續期，每次為期三年。",大理漾洱,"雲南電網有限責任公司
（雲南電網）轄下的大理
供電局，為南方電網之
附屬公司（大理供電局）",,"大理供電局供電予大理漾洱（作為工業用戶）作電站
用電。",如上文第4.1項,–
4.4,"電力交易中心銷售
於2023年不同日期，透過昆明電力交易中心有限責任公司
（昆明電力交易中心）訂立不同期間的電力銷售交易。",大理漾洱,"雲南電網（南方電網之
附屬公司）及昆明電力
交易中心，由雲南電網
擁有44%權益",,"大理漾洱不時透過昆明電力交易中心進行電力
銷售：（i）按照昆明電力交易中心的結算規則，
雲南電網作為結算代理人承擔交易的結算風險；
或（ii）雲南電網作為跨省電力銷售的購電方。","款項是根據千瓦時售電量，乘以由昆明電力
交易中心通過競爭性投標程序確定的電價，或
由巿場銷售各方按公平原則磋商的電價（如適
用），或由昆明電力交易中心設定的跨省售電
電價（以及昆明電力交易中心收取的交易費）。",31.57
"漾洱水電項目的合計總金額
（2023年項目上限為41.00百萬港元）",,,,,,,31.58
