""
"46,876"
""
"3,042"
"6,066"
""
"9,108"
""
"(5,489)"
"(5,296)"
""
"(10,785)"
""
"(9,248)"
"(2,935)"
"(2,343)"
""
"(14,526)"
"(5,802)"
""
"24,871"
"10,440"
31
"10,471"
"2,047"
"12,518"
