,,,,
薪酬組成部分,基本報酬,年度賞金計劃,長期賞金,退休安排
宗旨,"以不超出應需支付的
報酬為前提，吸納
及挽留具備在複雜
經營環境中可領導和
維持跨國業務營運
所需能力的高層
管理人員。","推動高層管理人員
的表現與創造短期
和長遠價值的目標
配合，從實踐甚麼
及如何實踐層面
考慮，同時避免
承擔過度風險。","激勵高層管理人員
創造長遠業務價
值，支持挽留高層
管理人員，以及鼓
勵作為首要負責人的
精神。","提供具有市場競爭力
和可持續的退休福
利。"
支付,"基本報酬。
於2023年佔潛在
薪酬總額的34%。","年度現金獎賞。
於2023年佔潛在
薪酬總額的34%。","最少75%賞金撥入
作中電控股影子
股份，其支付受限
於三年的發放期。
最高不超過25%的
賞金可撥入名義現金
存款，或作為中電
控股影子股份。
於2023年佔潛在
薪酬總額的23%。","僱主和僱員向集團
公積金計劃（一項界
定供款計劃）供款。
以僱主供款為17.5%
計算，於2023年佔
潛在薪酬總額的9%。"
釐定方法,"參考本地和國際同類
公司、擔任職位的
範疇和經驗，以及
全體員工的薪酬來
釐定。
有意將目標薪酬總額
定於參考市場的中高
水平。","薪酬委員會均衡考慮一系列量化和質量表
現指標，包括：
實踐甚麼
財務和營運表現
如何實踐
安全、環境及內部監控表現
額外目標反映中電在業務模式、人才、對
環境造成的影響及社會認受性方面的策略
重點和長遠可持續表現。",,"參考本地和國際同類
公司、全體員工的
供款，以及公司的
成本來釐定。
高層管理人員享有
的僱主供款比率與
所有僱員相同。"
