""
"86,868"
301
""
"87,169"
""
"14,870"
""
"1,147"
"2,049"
""
"18,066"
"(8,594)"
"3,040"
"(2,139)"
270
"10,643"
"(2,973)"
"7,670"
""
(139)
(876)
""
"6,655"
"5,597"
""
"12,252"
""
"15,402"
""
85
"5,880"
255
""
""
"161,663"
"12,854"
"12,518"
"9,380"
"2,041"
"30,595"
""
"229,051"
""
"57,515"
"17,815"
"41,339"
""
"116,669"
