""
"152,786"
"7,993"
884
"12,854"
"12,518"
"9,380"
"2,041"
"1,173"
"2,492"
""
"202,121"
""
""
""
"3,327"
"1,151"
"2,193"
"13,650"
328
"1,077"
22
"5,182"
""
""
"26,930"
""
""
""
"(6,880)"
"(20,306)"
"(1,063)"
"(12,572)"
"(1,658)"
""
""
"(42,479)"
""
""
""
"(15,549)"
""
""
"186,572"
""
