廢物回收及減塑,"2023年
表現","2025年底
目標"
,,
"回收再造廢棄電子及電機
設備",100%,100%
回收廢舊充電電池,100%,100%
回收再造廢金屬,100%,100%
回收再造惰性建築廢物,100%,100%
"餐飲設施中完全取締一次
性塑膠用品",100%,100%
,,
