,,,,,,,
,協議名稱、日期及期限,中電集團交易方,南方電網集團交易方,,交易性質及概況,定價基礎,"2023年金額
百萬港元"
1,中華電力售電予中國內地,,,,,,
1.1,"能源輸送協議
原協議於2015年12月25日訂立，並以多份補充協議形式經
磋商後續期。於2022年12月12日簽訂的續期協議，進一步
延續期限，由2023年1月1日至2023年12月31日。（附註1）",中華電力,"廣東電網有限責任
公司，為南方電網之
附屬公司（廣東電網）",,"視乎任何一方受到重大情況影響，導致正常供電予
受影響一方的客戶受到限制，中華電力可售電予
廣東電網或廣東電網可售電予中華電力，以作出
經濟電力交換。","交易按協議所指定情況，可以現金結算，或由
廣東電網為廣州蓄能水電廠（中電集團依合約
享有第一期電廠的50%（600兆瓦）抽水蓄能
發電容量使用權）提供與中華電力供電量相應
的所需用水結算。
中華電力向廣東電網供電以現金結算時，款項
是根據千瓦時售電量，乘以經各方按公平原則
磋商的電價（電量輸送單位價格）。此外，在備
用電力支援情況下，交易以現金結算，款項是
按電力（兆瓦）及所需求的備用電力時間，乘以
各方已議定的公平價格（備用價格）。電量輸送
單位價格及備用價格在考慮現有市場資訊及相
關成本後釐定。",–
"中華電力售電予中國內地的合計總金額
（2023年項目上限為624.00百萬港元）",,,,,,,–
2,懷集水電項目,,,,,,
2.1,"澤聯水電站購售電合同
於2018年9月24日訂立之協議，可自動續期。最近一次續期
為另外一年期至2024年9月23日。","廣東懷集新聯水電有限公
司，為本公司之附屬公司
（懷集新聯）","廣東電網轄下的肇慶
供電局，為南方電網之
附屬公司（肇慶供電局）",,"懷集新聯售電予肇慶供電局，肇慶供電局將結算的
職責授權予南方電網的另一附屬公司肇慶懷集供電
局（懷集供電局）。","款項是根據千瓦時售電量，乘以由肇慶市發展
和改革局（肇慶市發改局）預定的電價。電價
已刊登於肇慶市發改局肇價[2012]67號文（由
廣東省發展和改革委員會（廣東省發改委）粵價
[2013]177號文補充），並於不時更新。",5.84
2.2,"澤聯水電站購售電合同補充協議
於2019年8月16日訂立之協議，可自動續期。最近一次續期
為另外一年期至2024年4月18日。",懷集新聯,肇慶供電局,,"此協議為澤聯水電站技術改造及當地電網公司進行
升級工程期間，肇慶供電局向懷集新聯供電的臨時
安排。","款項是根據千瓦時售電量，乘以由廣東省發改
委預定的電價。電價已刊登於廣東省發改委粵
發改價格[2021]331號文，並於不時更新。",–
2.3,"龍中灘水電站購售電合同
於2018年12月25日訂立之協議，可自動續期。最近一次續期
為另外一年期至2024年12月24日。",懷集新聯,肇慶供電局,,如上文第2.1項,如上文第2.1項,2.60
