內容/描述,註釋
"(g) 薪酬-主體應披露：
(i) 在考慮高級人員薪酬時是否以及如何考
慮氣候相關考慮因；以及
(ii) 與氣候相關考量有關的當期確認的高階
主管薪酬百分比","我們鼓勵高層管理人員和員工在可
持續發展方面取得良好表現"
"主體應披露關於一個或多個特定商業模式、活
動或因參與某一產業而具備的共同特徵的產業
指標",可持續發展績效
