,千瓦時,"5,092,056","1,335,733","320,631","349,759",,"3,942,518","694,244","28,578","27,445","49,428","17,719","750,901",
,千瓦時,"3,176,847","3,000,963","3,007,050","2,980,776",,"29,227",0,0,0,0,0,"140,570",
,千瓦時,"11,467,596","10,748,640","3,080",427,,0,0,893,"2,680",0,0,"11,463,623",
,千瓦時,"247,179,389","237,135,575","2,957,079","3,033,240",,"3,509,231","1,927,597","123,167,824","123,196,316","62,985,354","53,605,737","54,559,901",
,千瓦時,"79,798","52,562",0,0,,"10,368","6,912","69,430","45,650",0,0,0,
總能源消耗量,千瓦時,"266,995,686","252,273,473","6,287,840","6,364,202",,"7,491,344","2,628,753","123,266,725","123,272,091","63,034,782","53,623,456","66,914,995","66,384,971"
建築能源強度,"千瓦時╱
總樓面面積平方米",135,123,319,322,,36,11,175,175,78,72,289,292
污染物54,,,,,,,,,,,,,,
