7.4%,7.5%,13.2%,13.4%,0.0%,0.0%,0.3%
25.4%,23.0%,35.1%,34.9%,2.9%,1.9%,41.1%
67.2%,69.5%,51.7%,51.7%,97.1%,98.1%,58.6%
