重大主題管理,環保為地球
直接（範圍一）溫室氣體排放,環保為地球、可持續發展績效
能源間接（範圍二）溫室氣體排放,環保為地球、可持續發展績效
其它間接（範圍三）溫室氣體排放,環保為地球、可持續發展績效
溫室氣體排放強度,環保為地球、可持續發展績效
溫室氣體排放減量,環保為地球、可持續發展績效
臭氧層破壞物質（ODS）的排放,集團業務並無使用臭氧消耗物質
"氮氧化物（NOx）、硫氧化物（SOx），及
其他顯著的氣體排放",可持續發展績效
