描述,方法
"由恒基地產擁有的物業並
出租予租戶營運所產生的
排放","本類別的排放量使用基於支出的方法計
算出租物業收入的碳排放量，並應用第
三方提供的排放系數"
"恒基地產投資營運所產生
的排放","本類別的排放量優先採用特定投資方法
進行計算，根據持股比例將投資對象的
範圍一和範圍二排放量分配予恒基地產；
如無法獲取投資對象的相關排放量時，
則採用平均數據法，使用投資對象的收
入和第三方排放系數進行計算"
