"有效使用資源（包括能源、水及其他
原材料）的政策",氣候變化政策、環保政策、可持續採購政策
,環保為地球
"按類型劃分的直接及╱或間接能源總
耗量（以千個千瓦時計算）及密度",可持續發展績效
總耗水量及密度,可持續發展績效
"描述所訂立的能源使用效益目標及為
達到這些目標所採取的步驟",我們的可持續發展策略和成就、環保為地球
"描述求取適用水源上可有任何問題，
以及所訂立的用水效益目標及為達到
這些目標所採取的步驟",我們的可持續發展策略和成就、環保為地球
"製成品所用包裝材料的總量（以噸計
算）及（如適用）每生產單位佔量","於報告期內，集團所使用的包裝材料為塑膠
購物袋，使用總數約為一百三十萬個"
