集團,,,,集團總部,,,,建築,,,,,物業管理,,,,其他香港附屬公司,,,,,,
2023,,2022,,2023,,2022,,2023,,2022,,,2023,,2022,,2023,,2022,,2023,,
男性,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,女性,,男性,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性
