披露指標,註釋
"有關職業安全衛生之工作者參與、諮
詢與溝通",關愛為人群
有關職業安全衛生之工作者訓練,關愛為人群
工作者健康促進,關愛為人群
"預防和減緩與業務關係直接相關聯之
職業安全衛生的衝擊",關愛為人群
職業傷害,關愛為人群、可持續發展績效
職業病,關愛為人群、可持續發展績效
