披露指標,註釋
最高治理單位於監督衝擊管理的角色,集團企業管治
衝擊管理的負責人,集團企業管治
最高治理單位於永續報導的角色,集團企業管治
利益衝突,企業管治報告
溝通關鍵重大事件,集團企業管治
最高治理單位的群體智識,集團企業管治
最高治理單位的績效評估,集團企業管治
薪酬政策,董事及僱員薪酬政策
薪酬決定流程,董事及僱員薪酬政策
年度總薪酬比率,"資料無法取得。集團董事及僱員薪酬政策
旨在為所有員工提供符合市場水準的公平
報酬。由於該指標受通貨膨脹率等因素的
影響，因此很難做出明確的聲明"
永續發展策略的聲明,我們的可持續發展策略和成就
政策承諾,集團企業管治
納入政策承諾,集團企業管治
補救負面衝擊的程序,集團企業管治
尋求建議和提出疑慮的機制,集團企業管治
法規遵循,集團企業管治
