,目標
案方決解新創,"於二零二三年前，將數碼化和智慧建築的特徵
融入所有新辦公和商業開發項目以及90%的
住宅項目"
,"繼續開發更多的創新技術，並將其應用於我們
的新建築項目中"
"及與參戶客
度意滿","每年定期進行客戶滿意度調查，保持高水準的
客戶滿意度"
"及康健業職
全安","於二零二三年前，將事故發生率降至每千名工
人7宗以下"
"及訓培
展發","於二零二五年前，每位員工的總培訓時間比二
零二零年基準年增加15%"
務服會社,"每年繼續由恒基溫暖工程義工隊、冠威、偉邦
和恒益貢獻超過80,000個小時的社會服務時數"
