97.6%,98.0%,97.8%,98.2%,94.4%,96.2%,99.3%
1.2%,1.2%,1.3%,1.3%,0.1%,0.2%,0.5%
1.2%,0.8%,0.9%,0.5%,5.5%,3.6%,0.2%
