描述,方法
"恒基地產出租物業之營運
所產生的排放（不包括在
範圍一和範圍二中的資產）","本類別的排放量使用平均數據法，結合
租賃的樓面面積和租賃期，並應用不同
物業類型的平均排放系數進行計算"
"恒基地產所售物業在使用
過程中預計會產生的排放
量","本類別的排放量結合所售物業的面積、
預計物業壽命以及各類型物業的平均排
放系數，計算出最終用戶在直接使用物
業時所產生的碳排放量"
"處置和處理恒基地產所售
物業於生命週期結束後所
產生的廢棄物而引致的排
放","本類別的排放量透過恒基地產樣本拆卸
項目使用外推法計算碳排放量；樣本項
目數據採用特定廢棄物類別法 (即將營
運過程中產生的廢棄物數據，按廢棄物
類別和處理方法進行細分) 計算碳排放
量，並應用第三方提供的排放系數"
