"有關提升僱員履行工作職責的知識及
技能的政策。描述培訓活動",關愛為人群
"按性別及僱員類別劃分的受訓僱員百
分比",可持續發展表現
"按性別及僱員類別劃分，每名僱員完
成受訓的平均時數",可持續發展表現
