描述,方法
"恒基地產購買的運輸和配
送服務所產生的排放","本類別的排放量使用基於支出的方法計
算每項運輸和分配服務開支的排放量，
並應用第三方提供的排放系數"
"處置和處理恒基地產營運
過程中所產生的廢棄物而
引致的排放","本類別的排放量使用特定廢棄物類別
法，（即將營運過程中產生的廢棄物數
據，按廢棄物類別和處理方法進行細分）
計算碳排放量，並應用第三方提供的排
放系數"
"恒基地產僱員因商務出行
所產生的排放量","本類別的排放量使用基於支出的方法計
算每種商務旅行方式的支出所產生的碳
排放量，並應用第三方提供的排放系數"
"恒基地產僱員往返住所和
工作地點的交通所產生的
排放","本類別的排放量使用平均數據方法，
結合恒基地產的僱員人數、公開可得
的平均通勤距離統計數據及相應的通
勤方式、工作日以及第三方排放系數
進行計算"
