"1,050","1,177",131,156,30,39,,327,367,420,509,142
"4,830","4,952",721,776,163,156,,"1,058","1,083","1,873","1,980","1,015"
"5,164","5,191",475,469,278,263,,"1,902","1,783","2,325","2,501",184
