類別,績效指標,2023
環境,環保投入金額（萬元）,108.07
,電力消耗總量（千度）,20176.36
,電力消耗密度（千度/ 萬顆產品）,0.078
,水消耗總量（噸）,39046
,水消耗密度（噸/ 萬顆產品）,0.15
,包材消耗總量（公斤）,419662.68
,單位產品包材消耗密度（公斤/ 萬顆產品）,8.9
,"直接溫室氣體排放量（TCO -e）
2",45.84
,"能源間接溫室氣體排放量（TCO-e）
2",8474.07
,"溫室氣體排放密度（TCO -e / 萬顆產品）
2",0.03
社會,慈善公益投入(萬元),44.3
,客戶滿意度,100%
,反腐敗的培訓總人數,316
,客戶投訴次數（次）,63
,已售產品因安全健康回收的比例（%）,0
,安全資金投入（萬元）,169.30
,安全事故次數（次 / 年）,0
,因公死亡人數（人 / 年）,0
,因工損失工時數（H）,0
,員工培訓投入（萬元 / 年）,117.5
,員工年度培訓總課時（課時 / 年）,28130
,培訓課程種類數（個 / 年）,565
,員工平均培訓課時(課時 / 人 / 年),18.52
