披露指標,註釋
公協會的會員資格,可持續發展獎項和專業認證資格
利害關係人議合方針,重要議題的評估方法
團體協約,"在香港，所有員工均有組織和加入工會的
權利和自由。在中國內地，19%的員工由
工會代表"
