2023,,
直接僱員,分判商工人71,直接僱員
0,0,0
"28,132,992","7,519,500","28,321,026"
0,0,0
16,11,11
0.11,0.29,0.08
184,19,184
1.31,0.51,1.30
0,0,0
"6,194","3,724","7,125"
1.72%,N/A,2.03%
6.54,2.53,6.50
