重大主題管理,關愛為人群
產品和服務資訊與標示的要求,關愛為人群
"未遵循產品與服務之資訊與標示相關
法規的事件","關愛為人群
於報告期內，恒基兆業發展有兩宗未遵循
產品與服務之資訊與標示相關法規的事
件。除此以外，我們在產品與服務之資訊
與標示上並無出現違反法規的重大個案"
未遵循行銷傳播相關法規的事件,關愛為人群
