認證 / 獎項
WELL健康安全評價準則
綠建環評(BEAM Plus)認證
綠建環評(BEAM Plus)認證
WELL健康安全評價準則
2023-2024年度亞太區房地產大獎
環保建築大獎2023
"亞太地區智慧綠建築聯盟及亞洲智能
建築學會大獎"
中國健康建築設計標識
綠建環評(BEAM Plus)認證
中國健康建築設計標識
中國健康建築設計標識
WELL健康建築標準認證
中國健康建築設計標識
2023-2024年度亞太區房地產大獎
環保建築大獎2023
TRUE 零廢棄物認證
WELL健康安全評價準則
綠建環評(BEAM Plus)認證
環保建築大獎2023
WELL健康安全評價準則
