認證 / 獎項
TRUE 零廢棄物認證
WELL健康安全評價準則
優質建築大獎2022
領先能源與環境設計 (LEED)
綠色解決方案獎2022-2023（中國）
TRUE 零廢棄物認證
WELL健康安全評價準則
WELL健康安全評價準則
綠建環評(BEAM Plus)認證
零碳就緒建築認證
領先能源與環境設計 (LEED)
WELL健康安全評價準則
WELL健康安全評價準則
環保建築大獎2023
綠建環評(BEAM Plus)認證
2023 LIV 酒店設計大獎
綠建環評(BEAM Plus)認證
環保建築大獎2023
綠色解決方案獎2022-2023（中國）
Stephen R. Kellert親生物設計獎
