描述,方法
"恒基地產所購買或取得的
商品和服務在開採、生產
和運輸過程中所產生的排
放","本類別的排放量使用基於支出的方法所
計算貨物和服務採購開支的碳排放量，
並應用第三方提供的排放系數"
"恒基地產所購買的資本商
品在開採、生產和運輸過
程中所產生的排放","本類別的排放量透過樣本發展項目使用
外推法計算碳排放量，並應用第三方提
供的排放系數；樣本項目數據結合兩種
方法計算得出，主要建築材料類型利用
用量以平均數據方法計算，而其他類型
的建築材料則使用基於支出的方法進行
計算"
"與恒基地產購買和消耗的
燃料和能源生產相關的排
放量（不包括在範圍一或
範圍二中的排放）","本類別的排放量使用平均數據的方法計
算燃料和電力上游所產生的碳排放量，
並應用第三方提供的排放系數"
