723,411,707,391,273,145,271,143,4,0,4,0,,125,42,125,37,240,182,231,172,81,42,76
"1,557","1,045","1,523","1,026",314,294,348,312,117,4,151,2,,592,314,465,299,305,216,343,201,229,217,216
"3,587","3,721","3,753","3,920",93,208,102,225,228,118,212,89,,"1,278",936,"1,395",912,"1,520","2,155","1,627","2,416",468,304,417
