4.4%,3.9%,4.8%,4.3%,0.0%,0.0%,0.2%
77.1%,72.9%,83.5%,80.5%,4.7%,1.4%,37.5%
18.5%,23.2%,11.7%,15.2%,95.3%,98.6%,62.3%
