"有關以社區參與來瞭解營運所在社區
需要和確保其業務活動會考慮社區利益
的政策。",19
"專注貢獻範疇（如教育、環境事宜、勞
工需求、健康、文化、體育）。",101-105
"在專注範疇所動用資源（如金錢或
時間）。",101-105
