,13.7,18.5,18.1,28.8,22.0,21.1
男,13.7,18.8,18.1,20.3,16.1,16.5
女,14.1,16.3,17.6,31.3,23.7,22.4
經理級或以上,16.2,15.7,16.6,15.8,16.0,15.1
一般員工,13.6,18.7,18.1,29.2,22.2,21.3
