層面,績效指標,頁碼位置
,"描述有關識別供應鏈每個環節的環境及社會風險的慣例，以
及相關執行及監察方法。",
,"描述在揀選供應商時促使多用環保產品及服務的慣例，以及
相關執行及監察方法。",
