"有關薪酬及解僱、招聘及晉升、工作時
數、假期、平等機會、多元化、反歧視
以及其他待遇及福利的：(a)政策；及(b)
遵守對發行人有重大影響的相關法律及
規例的資料。",19
"按性別、僱傭類型（如全職或兼職）、
年齡組別及地區劃分的僱員總數。",106-117
"按性別、年齡組別及地區劃分的僱員
流失比率。",106-117
