"有效使用資源（包括能源、水及其他
原材料）的政策。",19
"按類型劃分的直接及 / 或間接能源總
耗量（以千個千瓦時計算）及密度。",106-117
總耗水量及密度。,106-117
"描述所訂立的能源使用效益目標及為
達到這些目標所採取的步驟。",50-62
"描述求取適用水源上可有任何問題，
以及所訂立的用水效益目標及為達到
這些目標所採取的步驟。",
"製成品所用包裝材料的總量（以噸計算）
及（如適用）每生產單位佔量。",106-117
