市場,收集容器,店內補充 *
亞洲,,
香港,屈臣氏、百佳,屈臣氏、百佳
印尼,屈臣氏,－
馬來西亞,屈臣氏,屈臣氏
菲律賓,屈臣氏,屈臣氏
新加坡,屈臣氏,屈臣氏
泰國,屈臣氏,－
,,
歐洲,,
比利時,ICI Paris XL,－
荷蘭,ICI Paris XL,－
英國,"Superdrug, The Perfume Shop",The Perfume Shop
註*：適用於選定產品,,
