,,,,,,
,2023年核心供應商認證情況,,,,,
,類別,,證書╱標準,,認證比例,
,皮革,,LWG,,100%,
,布料,,GRS,,88%,
,PU,,GRS,,90%,
,鞋底,,LWG/GRS,,57%,
,,,,,,
