管控範疇,,化學品和物質,,納入RSL的原因,,潛在的用途
嚴格控制用量,,聚氯乙烯(PVC),,"具有潛在致癌性，可引起
環境退化",,"用作合成皮革替代品的塑
料材料"
嚴格控制用量,,富馬酸二甲酯(DMFu),,可引起過敏性反應,,"可被用作鞋履殺菌劑，防
止黴菌生長"
禁止使用,,石綿,,"可導致各種危險的肺部
疾病",,可用於生產織物和服裝
禁止使用,,三丁基錫(TBT)化合物,,"對生殖系統和海洋生態具
有潛在的毒性",,"可在印刷過程中作為防污
劑使用"
禁止使用,,"全氟╱多氟烷基物質
(PFAS-FREE)",,"可導致生理機能紊亂、對
成長發育造成影響且提高
罹癌風險",,用作外層面料的防水層
