九興2025環境目標進展,,,,
範疇,,2021年制定的目標,,截至2023年的進展
"溫室氣體排放
（範圍1及2）",,"至2025年實現溫室氣體絕對排放量
零增長
以2021年為基準年，至2025年將溫
室氣體排放密度降低15%",,"實現溫室氣體絕對排放量負
增長
溫室氣體排放密度增加1.8%9"
電力消耗,,"以2021年為基準年，至2025年將電
力消耗密度降低15%",,電力消耗密度降低了1.3%10
可再生能源,,"至2025年，建設規模達40兆瓦的可
再生能源基礎設施，預計將為我們
所有的業務提供15%的能源",,"太陽能板總裝機量達到19.84兆
瓦，可替代集團全年總用電量
約6%"
