2023可持續倡議,,
九興的可持續發展目標,,既有&新增項目
"1. 創建多元社群
九興的運營橫跨五國，我們深知全球社區所蘊藏的多
樣性。人才是我們運營的核心。我們致力於營造一個
包容多元性的工作環境，確保員工能在安全健康的環
境中工作，並提供豐富的學習與發展機會。",,"1. TVOC監測項目
2. 強化工作環境安全項目"
"2. 綠色低碳生產
我們充分理解自身產業的傳統特性及其可帶來的潛在
環境衝擊。我們打造綠色低碳工廠的承諾，代表了我
們願意積極面對全球環境挑戰的決心。我們邁向低碳
轉型的旅程，始於提倡資源節約、降低排放和增進資
源使用效益。",,"1. ISO 14064 & 碳盤查
2. 廢棄物減量專案
3. 能效提升專案"
"3. 打造強韌供應鏈
我們堅信，打造強韌的供應鏈的要件，不僅需要效
率，也需要良好的ESG實踐減輕風險。我們會持續發
展堅實的合作關係，並溝通及整合ESG原則以確保我
們供應鏈的可持續性和道德標準。",,"1. 新供應商環境與社會評分系統及
現場審核
2. 範圍1-3碳盤查
3. 加強供應商互動合作"
"4. 實現智能運營
集團善用數字化解決方案提升作業效率與成效，同時
保留我們的工藝技術。透過整合科技至我們的工作程
序來建立堅實的數位基礎架構。我們期許能以更聰
明、更有效率的方式工作，並根據科學洞見和數據做
出準確的決策。",,"1. IOE設備互聯網系統
2. 集團ESG數據平台
3. OIC智能運營看板
4. CIS雲端巡檢系統"
