,%,10,18
男性員工流失率,%,15,20
女性員工流失率,%,8,18
男性員工流失率,%,15,20
女性員工流失率,%,8,18
30歲以下員工流,%,9,22
"失率
30歲至50歲員工",%,7,15
"流失率
50歲以上員工流
失率",%,16,24
