,人,"2,548","3,158"
男性員工數,人,355,459
女性員工數,人,"2,193","2,699"
勞動合同制員工數,人,"2,414","2,997"
勞務派遣制員工數,人,44,128
"其他僱傭類型
2
員工數",人,90,33
基層員工數,人,"2,265","2,847"
中級管理層員工數,人,249,269
高級管理層員工數,人,34,42
小於30歲員工數,人,961,"1,168"
30至50歲員工數,人,"1,385","1,762"
大於50歲員工數,人,202,228
大陸員工數,人,"2,306","2,890"
"港澳臺以及海外員
工數",人,242,268
