"基層員工培訓
覆蓋率",%,85,90
"中級管理層員工培
訓覆蓋率",%,13,7
"高級管理層員工培
訓覆蓋率",%,2,3
,小時,17,18
"男性員工人均接受
培訓小時數",小時,12,35
"女性員工人均接受
培訓小時數",小時,18,15
"基層員工人均接受
培訓小時數",小時,17,14
"中級管理層員工人
均接受培訓小時數",小時,37,48
"高級管理層員工人
均接受培訓小時數",小時,33,103
