立方米,"29,595.00","61,791.00"
立方米,"86,195.08","159,980.60"
千克,105.12,105.12
毫克/升,66.43,78.02
毫克/升,10.63,9.53
毫克/升,2.80,8.01
毫克/升,12.00,8.04
噸,"1,813.03","2,171.89"
噸,166.29,526.76
噸,165.69,524.85
噸/人民幣萬元,0.0073,0.0094
噸/人民幣萬元,0.0012,0.0023
