Social,Unit,2023
社會範疇,單位,二零二三年度
"Employee turnover rate4
4
員工流失比率",,
"Employee turnover rate by gender
按性別劃分的員工流失比率",,
"Female
女性",%,16.7
"Male
男性",%,21.5
"Employee turnover rate by age group
按年齡組別劃分的員工流失比率",,
"Aged under 30
30
歲以下",%,28.5
"Aged 30-50
30-50
歲",%,9.7
"Aged over 50
50
歲以上",%,0
