Social,Unit,2023
社會範疇,單位,二零二三年度
"Number of employees by geographical region
按地區劃分的員工人數",,
"Hangzhou
杭州","Number of people
人數","1,112"
"Beijing
北京","Number of people
人數",186
"Shenzhen
深圳","Number of people
人數",127
"Shanghai
上海","Number of people
人數",127
"Guangzhou
廣州","Number of people
人數",126
"Chengdu
成都","Number of people
人數",71
"Hong Kong
香港","Number of people
人數",1
